,Show 1,Show 2,Show 3,Show 4,Show 5
Kairali,"The Sea
 P
  Israel/Arabic, Hebrew
 F
  93/2025
  Dir: Shai Carmeli-Pollak
    9:30 AM
 ","Six Days in Spring W
 /Six jours, ce
 C
 printemps-là
 Belgium, France,
 Luxembourg/French
  94/2025
 Dir: Joachim Lafosse
 12:00 PM
",,,
Sree,"Cotton Queen
 W C Sudan/Arabic
 94/2025
  Dir: Suzannah Mirghani
   9:15 AM
 ","Cairo Station
 Y
 /Bab el Hadid
 C
 Egypt (United Arab
 F
 Republic at the time)
 /Egyptian Arabic
  77/1958
Dir: Youssef Chahine
 11:30 AM
",,,
Nila,"Once Upon A
 C Love Story
 F Vietnam/Vietnamese
  135/2024
  Dir: Trinh Dinh Le Minh
  9:30 AM
 ","Inside the Wolf
 L
 /El corazón del
 A
 lobo
 Peru/Spanish
 100/2025
  Dir: Francisco J.
Lombardi
 12:15 PM
",,,
Kalabhavan,"Romería
 W  C  Spain/Spanish
  111/2025
 Dir: Carla Simón
    9:15 AM
 ","Waiting for
 L
 Happiness
 T
 /Heremakono
 A
 Mauritania,France
 /Hassaniya Arabic,French,
 Mandarin
 91/2002
 Dir: AbdeRGRahmane
 Sissako
 12:30 PM
",,,
Tagore,"Gloaming in
 W Luomu
 C
  China/Mandarin
  99/2025
 Dir: Zhang Lu
9:00 AM
 ","Riverstone
 W  C
 Sri Lanka/Sinhala
  119/2025
  Dir: Lalith Rathnayake
  11:15 AM
 ","Miroirs No.3
 W
 C
 Germany/German
 86/2025
 Dir: Christian Petzold
 2:15 PM
",,
Nishagandhi,,,"CLOSING CEREMONY
 Followed by the
 screening of Award
 Winning Film
 6:00 PM
",,
Ariesplex-1,,,,,
Ariesplex-4,,,,,
Ariesplex-6,,,,,
New-1,,,,,
New-2,,,,,
New-3,,,,,
Ajantha,,,,,
Sree Padmanabha,,,,,
Kripa-1,,,,,
